                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.9351,                 6.2017,                 3.8818,                      0,                      0,                      0,                      0,                 5.7916,                 5.4725,                 4.1681,             0.00065789,             0.00065789,             0.00065789
                      2,                 3.0853,                 3.5349,                 2.5593,                0.00229,                0.29197,                 0.0014,                0.00045,                 3.6662,                 8945.2,                   42.9,              0.0013114,              0.0013114,              0.0013114
                      3,                 2.7039,                  2.434,                 2.1781,                0.24162,                0.03722,                0.09269,                0.02372,                 2.9977,                 3.3076,                 2.5183,              0.0019518,              0.0019518,              0.0019518
                      4,                  2.525,                 2.0024,                 1.9757,                0.00476,                0.71776,                0.10613,                0.02595,                 3.1034,                 2.8102,                 2.3635,              0.0019406,              0.0019406,              0.0019406
                      5,                 2.3784,                 1.8361,                 1.9087,                0.41749,                0.58394,                0.36112,                0.09977,                 2.3136,                 1.8522,                 1.9018,              0.0019406,              0.0019406,              0.0019406
                      6,                 2.2998,                 1.8143,                 1.8278,                0.51879,                0.52311,                0.46053,                0.14027,                 2.2882,                 1.8379,                 1.8333,              0.0019208,              0.0019208,              0.0019208
                      7,                 2.2298,                 1.6956,                 1.7771,                0.56699,                0.36496,                0.42559,                0.13733,                 2.3453,                 2.1151,                 1.8884,               0.001901,               0.001901,               0.001901
                      8,                 2.2339,                 1.7008,                  1.769,                0.33678,                 0.3601,                0.25724,                0.07242,                 2.3641,                 2.1347,                 1.9462,              0.0018812,              0.0018812,              0.0018812
                      9,                 2.1558,                 1.5633,                 1.7307,                0.64106,                0.40633,                0.44916,                 0.1289,                  2.368,                 4.0736,                 1.9722,              0.0018614,              0.0018614,              0.0018614
                     10,                 2.1517,                 1.5544,                 1.7143,                0.62679,                0.49148,                0.55884,                 0.1702,                 2.3525,                 1.6527,                 1.8642,              0.0018416,              0.0018416,              0.0018416
                     11,                 2.0872,                  1.517,                  1.681,                0.58783,                0.56448,                0.51229,                0.14905,                 2.3186,                 2.0606,                 1.8542,              0.0018218,              0.0018218,              0.0018218
                     12,                 2.0854,                  1.523,                  1.661,                0.62472,                0.71533,                0.64717,                0.24927,                 2.0279,                 1.6413,                 1.6662,               0.001802,               0.001802,               0.001802
                     13,                 2.0361,                 1.5051,                 1.6444,                0.69805,                0.65937,                0.68229,                0.22648,                 2.1622,                  1.541,                 1.7657,              0.0017822,              0.0017822,              0.0017822
                     14,                 2.0735,                 1.4739,                 1.6371,                0.58433,                0.65937,                 0.5906,                0.19923,                 2.0568,                  1.486,                 1.7002,              0.0017624,              0.0017624,              0.0017624
                     15,                 2.0522,                 1.4933,                 1.6539,                0.59865,                0.62287,                 0.6242,                0.21274,                 2.1425,                 1.6054,                 1.7332,              0.0017426,              0.0017426,              0.0017426
                     16,                 2.0133,                 1.4759,                 1.6068,                0.61995,                 0.5755,                0.54009,                0.16363,                 2.3527,                 1.4782,                 1.8693,              0.0017228,              0.0017228,              0.0017228
                     17,                 1.9213,                 1.4191,                 1.5774,                 0.5884,                0.67883,                 0.5765,                0.20295,                 2.0719,                 1.4359,                 1.6849,               0.001703,               0.001703,               0.001703
                     18,                 1.9178,                 1.4182,                 1.5942,                0.58544,                0.59367,                0.58733,                0.19127,                  2.139,                  1.552,                 1.7305,              0.0016832,              0.0016832,              0.0016832
                     19,                 1.9788,                 1.3913,                 1.6095,                0.65002,                0.58881,                 0.6067,                0.18321,                 2.1621,                 1.5771,                 1.7171,              0.0016634,              0.0016634,              0.0016634
                     20,                  1.905,                 1.3801,                 1.5399,                0.54995,                0.51825,                0.54627,                0.17194,                 2.1954,                 1.6379,                  1.765,              0.0016436,              0.0016436,              0.0016436
                     21,                 1.9315,                 1.4049,                 1.5579,                0.66949,                0.66042,                0.65907,                0.22989,                 2.1467,                 1.4083,                 1.7094,              0.0016238,              0.0016238,              0.0016238
                     22,                 1.8965,                 1.3719,                 1.5708,                0.77523,                 0.6764,                0.75112,                0.29438,                 2.1417,                 1.3557,                 1.7238,               0.001604,               0.001604,               0.001604
                     23,                 1.8789,                 1.3603,                 1.5341,                0.73093,                0.79562,                0.75788,                0.29164,                  1.975,                 1.2471,                 1.5927,              0.0015842,              0.0015842,              0.0015842
                     24,                 1.9053,                 1.3791,                 1.5544,                0.39966,                0.53129,                 0.3405,                0.08988,                 2.5661,                 1.6825,                 2.0186,              0.0015644,              0.0015644,              0.0015644
                     25,                 1.8592,                 1.3314,                 1.5253,                0.64156,                0.62044,                0.63548,                0.22963,                 2.0862,                 1.4948,                 1.7017,              0.0015446,              0.0015446,              0.0015446
                     26,                 1.8028,                 1.3278,                 1.5168,                0.66714,                0.73723,                0.71989,                 0.2595,                 1.9281,                 1.3845,                 1.5983,              0.0015248,              0.0015248,              0.0015248
                     27,                 1.8244,                 1.3217,                 1.5081,                0.61083,                0.70803,                0.66895,                0.22797,                 1.9284,                 1.4563,                 1.5865,               0.001505,               0.001505,               0.001505
