                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.679,                 11.848,                  4.205,                  7e-05,                0.04545,                  4e-05,                  2e-05,                 3.6177,                 7.2311,                 4.1582,                0.00038,                0.00038,                0.00038
                      2,                 3.4564,                 11.627,                 3.8984,                0.00018,                0.13636,                0.00013,                  4e-05,                 3.6171,                 6.5119,                 4.1474,             0.00070278,             0.00070278,             0.00070278
                      3,                 3.3231,                 8.3913,                 3.9478,                0.00019,                0.13636,                0.00011,                  4e-05,                 3.6128,                 6.1843,                 4.1394,             0.00094636,             0.00094636,             0.00094636
                      4,                 3.4364,                 7.3234,                 3.7955,                0.00013,                0.09091,                  7e-05,                  2e-05,                 3.6121,                 5.6264,                 4.1516,              0.0011107,              0.0011107,              0.0011107
                      5,                 2.9987,                 7.0947,                 3.6531,                0.00012,                0.09091,                0.00011,                  3e-05,                 3.5903,                 8.2044,                 4.1468,              0.0011959,              0.0011959,              0.0011959
                      6,                  3.055,                 7.2514,                 3.5396,                0.00017,                0.13636,                 0.0001,                  3e-05,                 3.6006,                 826.56,                 4.1929,                0.00101,                0.00101,                0.00101
                      7,                 2.8443,                 6.8159,                  3.205,                0.00026,                0.22727,                0.00021,                  8e-05,                 3.4367,                 534.81,                 3.7595,                0.00101,                0.00101,                0.00101
                      8,                 3.1912,                 6.2326,                 3.3011,                0.00033,                0.27273,                0.00035,                0.00017,                  3.114,                 5.7486,                  3.512,               0.000812,               0.000812,               0.000812
                      9,                 2.9324,                 6.9244,                 3.0907,                0.00031,                0.27273,                0.00027,                0.00013,                 2.8588,                 1566.9,                 3.3077,               0.000614,               0.000614,               0.000614
                     10,                 3.0309,                 5.9425,                 3.1265,                0.00023,                0.18182,                0.00019,                  8e-05,                 2.9334,                 5.3495,                 3.7132,               0.000416,               0.000416,               0.000416
