                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.9351,                 6.2017,                 3.8818,                      0,                      0,                      0,                      0,                 5.7965,                 5.5295,                 4.1757,             0.00065789,             0.00065789,             0.00065789
                      2,                 3.1147,                 3.5846,                 2.5949,                0.00117,                0.20681,                0.00148,                0.00041,                 4.1418,                 1331.2,                 18.875,              0.0013213,              0.0013213,              0.0013213
                      3,                 2.6506,                 2.3703,                 2.1217,                0.01394,                0.19221,                0.00594,                0.00138,                 3.9328,                 10.884,                 3.1633,              0.0019814,              0.0019814,              0.0019814
                      4,                 2.5158,                 2.0713,                 1.9694,                0.33548,                0.34793,                0.23511,                0.04822,                 3.3202,                 2.3996,                 2.4516,              0.0019852,              0.0019852,              0.0019852
                      5,                 2.4071,                 1.9201,                 1.9437,                0.11721,                0.07299,                0.05784,                 0.0141,                 3.2088,                 3.8379,                 2.4291,              0.0019852,              0.0019852,              0.0019852
                      6,                 2.3058,                 1.7684,                 1.8291,                0.29408,                0.20925,                 0.1288,                0.04297,                 2.4778,                 3.0356,                 2.0834,              0.0019802,              0.0019802,              0.0019802
                      7,                  2.238,                  1.698,                   1.78,                0.62494,                0.58881,                0.61208,                0.18902,                 2.2641,                 1.6759,                 1.8407,              0.0019753,              0.0019753,              0.0019753
                      8,                 2.2684,                 1.6619,                 1.7924,                0.33839,                0.44675,                0.27327,                0.07169,                  2.531,                 1.9781,                  2.026,              0.0019703,              0.0019703,              0.0019703
                      9,                 2.1131,                 1.5671,                 1.7082,                0.44631,                0.57421,                0.43982,                 0.1415,                 2.1933,                 1.5756,                 1.7715,              0.0019654,              0.0019654,              0.0019654
                     10,                 2.1517,                 1.5799,                 1.7278,                0.56052,                 0.6399,                0.56695,                 0.1774,                 2.3006,                 1.5351,                 1.8433,              0.0019604,              0.0019604,              0.0019604
                     11,                 2.0676,                 1.5049,                 1.6547,                0.61487,                0.53285,                0.61038,                0.20904,                 2.1639,                 1.7003,                 1.7415,              0.0019555,              0.0019555,              0.0019555
                     12,                 2.0514,                 1.5343,                 1.6394,                0.65041,                0.66423,                0.65902,                0.23406,                 2.1474,                 1.4825,                 1.7436,              0.0019505,              0.0019505,              0.0019505
                     13,                 2.0783,                 1.5111,                 1.6646,                0.66351,                0.64964,                0.64198,                0.21981,                 2.2186,                 1.4974,                 1.7694,              0.0019456,              0.0019456,              0.0019456
                     14,                 2.0424,                 1.4561,                  1.619,                0.65157,                0.69586,                0.69873,                0.27219,                 1.9955,                  1.457,                 1.6497,              0.0019406,              0.0019406,              0.0019406
                     15,                 2.0575,                 1.4488,                 1.6476,                0.60325,                0.55718,                0.61818,                0.20827,                  2.293,                 1.6273,                 1.8559,              0.0019357,              0.0019357,              0.0019357
                     16,                 1.9902,                 1.4693,                 1.6007,                0.48655,                0.61314,                0.49392,                 0.1497,                 2.2488,                 1.6005,                  1.822,              0.0019307,              0.0019307,              0.0019307
