                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.5718,                 7.3624,                 4.0904,                      0,                      0,                      0,                      0,                 5.8728,                 6.5093,                 4.1643,             0.00064815,             0.00064815,             0.00064815
                      2,                 3.9174,                 5.9515,                 3.4581,                      0,                      0,                      0,                      0,                 5.7375,                 5.4846,                 4.1286,              0.0011846,              0.0011846,              0.0011846
                      3,                 3.4853,                 4.6997,                 2.9527,                0.00213,                0.46715,                0.00172,                0.00062,                 3.3628,                 673.14,                 3.7329,              0.0015891,              0.0015891,              0.0015891
                      4,                 3.0567,                 3.9416,                 2.7288,                0.02122,                0.47689,                0.03513,                0.00898,                 3.6875,                  155.2,                 5.0071,               0.001406,               0.001406,               0.001406
                      5,                 2.9643,                 3.3559,                 2.6045,                0.16633,                0.36496,                0.11505,                0.02107,                 3.5533,                  8.671,                 3.0032,               0.001406,               0.001406,               0.001406
                      6,                  2.773,                 2.7916,                 2.4316,                0.04105,                0.05353,                 0.0096,                0.00238,                 3.8533,                 8.6544,                 3.1567,               0.001208,               0.001208,               0.001208
                      7,                 2.6228,                 2.4955,                  2.323,                0.29791,                0.31144,                0.22653,                0.06078,                 3.0391,                 3.8435,                 2.4531,                0.00101,                0.00101,                0.00101
                      8,                 2.5263,                 2.2237,                 2.1734,                0.29485,                0.24818,                0.17349,                0.04495,                 2.8565,                 4.3101,                 2.3154,               0.000812,               0.000812,               0.000812
                      9,                 2.4275,                 2.1232,                 2.1605,                0.25243,                0.24574,                0.14043,                0.03247,                 2.8675,                 2.9092,                 2.3784,               0.000614,               0.000614,               0.000614
                     10,                 2.3833,                 1.9902,                 2.0904,                0.48748,                0.52555,                0.49014,                 0.1463,                 2.4509,                 1.9181,                   2.01,               0.000416,               0.000416,               0.000416
